Region,Value,Year
Abai Region,318,2022
Akmola Region,559,2022
Aktobe Region,426,2022
Almaty Region,464,2022
Atyrau Region,220,2022
West Kazakhstan Region,381,2022
Jambyl Region,501,2022
Jetisu Region,349,2022
Karaganda Region,437,2022
Kostanay Region,476,2022
Kyzylorda Region,331,2022
Mangystau Region,186,2022
Pavlodar Region,371,2022
North Kazakhstan Region,467,2022
Turkistan Region,1004,2022
Ulytau Region,88,2022
East Kazakhstan Region,361,2022
Astana city,164,2022
Almaty city,333,2022
Shymkent city,251,2022
