Region,School-number,Population,School-number-rate
Abai Region,318.0,610189,5.211500043429167
Akmola Region,559.0,787971,7.094169709291331
Aktobe Region,426.0,928185,4.589602288336915
Almaty Region,464.0,1505984,3.081042029662998
Atyrau Region,220.0,693040,3.1744199469006116
West Kazakhstan Region,381.0,688091,5.537058325134321
Jambyl Region,501.0,1217955,4.113452467455694
Jetisu Region,349.0,698675,4.995169427845565
Karaganda Region,437.0,1134753,3.8510583360431743
Kostanay Region,476.0,832110,5.720397543593996
Kyzylorda Region,331.0,833531,3.9710580650269756
Mangystau Region,186.0,766956,2.42517171780389
Pavlodar Region,371.0,754903,4.914538689076609
North Kazakhstan Region,467.0,534024,8.744925321708388
Turkistan Region,1004.0,2119063,4.737943138075649
Ulytau Region,88.0,221395,3.9747961787754917
East Kazakhstan Region,361.0,730172,4.944040582218984
Astana city,164.0,1354435,1.2108369910700771
Almaty city,333.0,2161695,1.5404578351710116
Shymkent city,251.0,1191877,2.10592200369669
The Republic Of Kazakhstan,0.0,19765004,0.0
