region,schools,year
Абай,318,2022-2023
Акмолинская,559,2022-2023
Актюбинская,426,2022-2023
Алматинская,464,2022-2023
Атырауская,220,2022-2023
Западно-Казахстанская,381,2022-2023
Жамбылская,501,2022-2023
Жетису,349,2022-2023
Карагандинская,437,2022-2023
Костанайская,476,2022-2023
Кызылординская,331,2022-2023
Мангистауская,186,2022-2023
Павлодарская,371,2022-2023
Северо-Казахстанская,467,2022-2023
Туркестанская*,1004,2022-2023
Улытау,88,2022-2023
Восточно-Казахстанская,361,2022-2023
город Астана,164,2022-2023
город Алматы,333,2022-2023
город Шымкент,251,2022-2023
